fname,ID,Status,pixel size,Single tick,Sex,Lifestage,Feed-Stage,Species,Identifier_initials,ID_date,Notes,re-cropped
/Volumes/My Passport/MLS_project/OriginalData/10003171+Dermacentor_variabilis+Discard+RTS_+life_unk+feed_unk.jpg,10003171,Discard,nan,False,unk,unk,unk,Dermacentor variabilis,LJ,08/10/20,"f D. variabilis, f I. scapularis",True
/Volumes/My Passport/MLS_project/OriginalData/10003179+Ixodes_scapularis+Augment+RTS_70+life_a+fed.jpg,10003179,Augment,70.0,True,f,a,fed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10013936+Dermacentor_variabilis+Augment+RTS_63+life_a+fed.jpg,10013936,Augment,63.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10031104+Ixodes_scapularis+Augment+RTS_80+life_a+fed.jpg,10031104,Augment,80.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10036805+Ixodes_scapularis+Augment+RTS_30+life_n+fed.jpg,10036805,Augment,30.0,True,unk,n,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10044924+Ixodes_scapularis+Augment+RTS_98+life_a+fed.jpg,10044924,Augment,98.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10056847+Ixodes_scapularis+Augment+RTS_160+life_a+fed.jpg,10056847,Augment,160.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10057135+Amblyomma_americanum+Augment+RTS_170+life_a+fed.jpg,10057135,Augment,170.0,True,m,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10057168+Ixodes_scapularis+Augment+RTS_150+life_a+fed.jpg,10057168,Augment,150.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10073573+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,10073573,Discard,nan,False,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,"2 F ticks, small though",True
/Volumes/My Passport/MLS_project/OriginalData/10083507+Ixodes_scapularis+Augment+RTS_56+life_a+fed.jpg,10083507,Augment,56.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10094333+Amblyomma_americanum+Discard+RTS_50+life_unk+feed_unk.jpg,10094333,Discard,50.0,True,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10151452+Amblyomma_americanum+Augment+RTS_190+life_a+fed.jpg,10151452,Augment,190.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10165524+Amblyomma_americanum+Augment+RTS_110+life_a+fed.jpg,10165524,Augment,110.0,True,m,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10165525+Amblyomma_americanum+Augment+RTS_110+life_a+fed.jpg,10165525,Augment,110.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10187653+Dermacentor_variabilis+Augment+RTS_45+life_a+fed.jpg,10187653,Augment,45.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
